value,rank,color,sigla_uf,state_id,indicator_id,component_id,component_name,dimension_id,dimension_name,indicator_name,ano,descricao,fonte
"64,87",12,2,RS,43,ag_esg_2,comp_saneamento_basico__esgoto,ESGOTO,dim_saneamento_basico,SANEAMENTO BÁSICO,Percentual de atendimento total de esgoto,2024,Percentual da população total atendida por rede coletora de esgoto ou soluções individuais adequadas por UF.,SINISA
"67,83",5,3,SC,42,ag_esg_2,comp_saneamento_basico__esgoto,ESGOTO,dim_saneamento_basico,SANEAMENTO BÁSICO,Percentual de atendimento total de esgoto,2024,Percentual da população total atendida por rede coletora de esgoto ou soluções individuais adequadas por UF.,SINISA
"29,18",24,1,SE,28,ag_esg_2,comp_saneamento_basico__esgoto,ESGOTO,dim_saneamento_basico,SANEAMENTO BÁSICO,Percentual de atendimento total de esgoto,2024,Percentual da população total atendida por rede coletora de esgoto ou soluções individuais adequadas por UF.,SINISA
"67,59",6,3,SP,35,ag_esg_2,comp_saneamento_basico__esgoto,ESGOTO,dim_saneamento_basico,SANEAMENTO BÁSICO,Percentual de atendimento total de esgoto,2024,Percentual da população total atendida por rede coletora de esgoto ou soluções individuais adequadas por UF.,SINISA
"65,88",9,3,TO,17,ag_esg_2,comp_saneamento_basico__esgoto,ESGOTO,dim_saneamento_basico,SANEAMENTO BÁSICO,Percentual de atendimento total de esgoto,2024,Percentual da população total atendida por rede coletora de esgoto ou soluções individuais adequadas por UF.,SINISA
"9,06",26,1,AC,12,ag_esg_3,comp_saneamento_basico__esgoto,ESGOTO,dim_saneamento_basico,SANEAMENTO BÁSICO,Cobertura do tratamento de esgoto coletado,2024,Percentual de volume de esgoto coletado e o volume tratado por UF.,SINISA
"53,55",16,2,AL,27,ag_esg_3,comp_saneamento_basico__esgoto,ESGOTO,dim_saneamento_basico,SANEAMENTO BÁSICO,Cobertura do tratamento de esgoto coletado,2024,Percentual de volume de esgoto coletado e o volume tratado por UF.,SINISA
"62,61",12,2,AM,13,ag_esg_3,comp_saneamento_basico__esgoto,ESGOTO,dim_saneamento_basico,SANEAMENTO BÁSICO,Cobertura do tratamento de esgoto coletado,2024,Percentual de volume de esgoto coletado e o volume tratado por UF.,SINISA
"72,59",1,3,AP,16,ag_esg_3,comp_saneamento_basico__esgoto,ESGOTO,dim_saneamento_basico,SANEAMENTO BÁSICO,Cobertura do tratamento de esgoto coletado,2024,Percentual de volume de esgoto coletado e o volume tratado por UF.,SINISA
"50,28",18,2,BA,29,ag_esg_3,comp_saneamento_basico__esgoto,ESGOTO,dim_saneamento_basico,SANEAMENTO BÁSICO,Cobertura do tratamento de esgoto coletado,2024,Percentual de volume de esgoto coletado e o volume tratado por UF.,SINISA
