value,rank,color,sigla_uf,state_id,dimension_id,dimension_name
62,8,3,MS,50,dim_bem_estar_social_e_cidadania,BEM-ESTAR SOCIAL E CIDADANIA
"60,04",11,2,MT,51,dim_bem_estar_social_e_cidadania,BEM-ESTAR SOCIAL E CIDADANIA
"27,29",23,1,PA,15,dim_bem_estar_social_e_cidadania,BEM-ESTAR SOCIAL E CIDADANIA
"51,71",16,2,PB,25,dim_bem_estar_social_e_cidadania,BEM-ESTAR SOCIAL E CIDADANIA
"52,21",15,2,PE,26,dim_bem_estar_social_e_cidadania,BEM-ESTAR SOCIAL E CIDADANIA
"42,7",21,1,PI,22,dim_bem_estar_social_e_cidadania,BEM-ESTAR SOCIAL E CIDADANIA
"70,5",1,3,PR,41,dim_bem_estar_social_e_cidadania,BEM-ESTAR SOCIAL E CIDADANIA
"62,52",7,3,RJ,33,dim_bem_estar_social_e_cidadania,BEM-ESTAR SOCIAL E CIDADANIA
"55,27",14,2,RN,24,dim_bem_estar_social_e_cidadania,BEM-ESTAR SOCIAL E CIDADANIA
"56,22",13,2,RO,11,dim_bem_estar_social_e_cidadania,BEM-ESTAR SOCIAL E CIDADANIA
"21,97",24,1,RR,14,dim_bem_estar_social_e_cidadania,BEM-ESTAR SOCIAL E CIDADANIA
"68,26",3,3,RS,43,dim_bem_estar_social_e_cidadania,BEM-ESTAR SOCIAL E CIDADANIA
"63,44",6,3,SC,42,dim_bem_estar_social_e_cidadania,BEM-ESTAR SOCIAL E CIDADANIA
"50,18",17,2,SE,28,dim_bem_estar_social_e_cidadania,BEM-ESTAR SOCIAL E CIDADANIA
"68,76",2,3,SP,35,dim_bem_estar_social_e_cidadania,BEM-ESTAR SOCIAL E CIDADANIA
"47,41",19,1,TO,17,dim_bem_estar_social_e_cidadania,BEM-ESTAR SOCIAL E CIDADANIA
"22,59",25,1,AC,12,dim_energia_e_conectividade,ENERGIA E CONECTIVIDADE
"42,73",20,1,AL,27,dim_energia_e_conectividade,ENERGIA E CONECTIVIDADE
"17,45",27,1,AM,13,dim_energia_e_conectividade,ENERGIA E CONECTIVIDADE
"25,37",24,1,AP,16,dim_energia_e_conectividade,ENERGIA E CONECTIVIDADE
"54,92",11,2,BA,29,dim_energia_e_conectividade,ENERGIA E CONECTIVIDADE
"46,3",18,2,CE,23,dim_energia_e_conectividade,ENERGIA E CONECTIVIDADE
"66,84",6,3,DF,53,dim_energia_e_conectividade,ENERGIA E CONECTIVIDADE
"56,72",9,3,ES,32,dim_energia_e_conectividade,ENERGIA E CONECTIVIDADE
"49,48",15,2,GO,52,dim_energia_e_conectividade,ENERGIA E CONECTIVIDADE
"42,56",21,1,MA,21,dim_energia_e_conectividade,ENERGIA E CONECTIVIDADE
"70,43",5,3,MG,31,dim_energia_e_conectividade,ENERGIA E CONECTIVIDADE
"45,58",19,1,MS,50,dim_energia_e_conectividade,ENERGIA E CONECTIVIDADE
"48,8",16,2,MT,51,dim_energia_e_conectividade,ENERGIA E CONECTIVIDADE
"38,41",22,1,PA,15,dim_energia_e_conectividade,ENERGIA E CONECTIVIDADE
"51,88",12,2,PB,25,dim_energia_e_conectividade,ENERGIA E CONECTIVIDADE
"50,03",14,2,PE,26,dim_energia_e_conectividade,ENERGIA E CONECTIVIDADE
"51,18",13,2,PI,22,dim_energia_e_conectividade,ENERGIA E CONECTIVIDADE
"71,7",3,3,PR,41,dim_energia_e_conectividade,ENERGIA E CONECTIVIDADE
"75,12",2,3,RJ,33,dim_energia_e_conectividade,ENERGIA E CONECTIVIDADE
"66,08",7,3,RN,24,dim_energia_e_conectividade,ENERGIA E CONECTIVIDADE
"46,86",17,2,RO,11,dim_energia_e_conectividade,ENERGIA E CONECTIVIDADE
"19,04",26,1,RR,14,dim_energia_e_conectividade,ENERGIA E CONECTIVIDADE
"63,7",8,3,RS,43,dim_energia_e_conectividade,ENERGIA E CONECTIVIDADE
"71,34",4,3,SC,42,dim_energia_e_conectividade,ENERGIA E CONECTIVIDADE
"55,9",10,2,SE,28,dim_energia_e_conectividade,ENERGIA E CONECTIVIDADE
"78,31",1,3,SP,35,dim_energia_e_conectividade,ENERGIA E CONECTIVIDADE
"33,72",23,1,TO,17,dim_energia_e_conectividade,ENERGIA E CONECTIVIDADE
"46,01",15,2,AC,12,dim_mobilidade,MOBILIDADE
"52,96",8,3,AL,27,dim_mobilidade,MOBILIDADE
"36,45",25,1,AM,13,dim_mobilidade,MOBILIDADE
"33,83",27,1,AP,16,dim_mobilidade,MOBILIDADE
"45,89",16,2,BA,29,dim_mobilidade,MOBILIDADE
"58,81",4,3,CE,23,dim_mobilidade,MOBILIDADE
"75,85",1,3,DF,53,dim_mobilidade,MOBILIDADE
"54,07",7,3,ES,32,dim_mobilidade,MOBILIDADE
"43,28",20,1,GO,52,dim_mobilidade,MOBILIDADE
"45,82",17,2,MA,21,dim_mobilidade,MOBILIDADE
"51,14",10,2,MG,31,dim_mobilidade,MOBILIDADE
"48,41",13,2,MS,50,dim_mobilidade,MOBILIDADE
"36,61",24,1,MT,51,dim_mobilidade,MOBILIDADE
"45,51",18,2,PA,15,dim_mobilidade,MOBILIDADE
"52,25",9,3,PB,25,dim_mobilidade,MOBILIDADE
"55,77",5,3,PE,26,dim_mobilidade,MOBILIDADE
"41,11",21,1,PI,22,dim_mobilidade,MOBILIDADE
"49,3",11,2,PR,41,dim_mobilidade,MOBILIDADE
"70,26",2,3,RJ,33,dim_mobilidade,MOBILIDADE
"47,54",14,2,RN,24,dim_mobilidade,MOBILIDADE
"40,33",22,1,RO,11,dim_mobilidade,MOBILIDADE
"44,45",19,1,RR,14,dim_mobilidade,MOBILIDADE
"35,26",26,1,RS,43,dim_mobilidade,MOBILIDADE
"48,92",12,2,SC,42,dim_mobilidade,MOBILIDADE
"55,27",6,3,SE,28,dim_mobilidade,MOBILIDADE
"66,43",3,3,SP,35,dim_mobilidade,MOBILIDADE
"37,9",23,1,TO,17,dim_mobilidade,MOBILIDADE
