value,rank,color,sigla_uf,state_id,component_id,component_name,dimension_id,dimension_name
"45,87",17,2,RN,24,comp_agua__distribuicao,DISTRIBUIÇÃO,dim_agua,ÁGUA
"18,46",25,1,RO,11,comp_agua__distribuicao,DISTRIBUIÇÃO,dim_agua,ÁGUA
"35,19",21,1,RR,14,comp_agua__distribuicao,DISTRIBUIÇÃO,dim_agua,ÁGUA
"71,84",4,3,RS,43,comp_agua__distribuicao,DISTRIBUIÇÃO,dim_agua,ÁGUA
"70,28",7,3,SC,42,comp_agua__distribuicao,DISTRIBUIÇÃO,dim_agua,ÁGUA
"43,31",18,2,SE,28,comp_agua__distribuicao,DISTRIBUIÇÃO,dim_agua,ÁGUA
"71,19",6,3,SP,35,comp_agua__distribuicao,DISTRIBUIÇÃO,dim_agua,ÁGUA
"68,67",8,3,TO,17,comp_agua__distribuicao,DISTRIBUIÇÃO,dim_agua,ÁGUA
"44,87",15,2,AC,12,comp_meio_ambiente_e_resiliencia__cobertura_vegetal_e_conservacao,COBERTURA VEGETAL E CONSERVAÇÃO,dim_meio_ambiente_e_resiliencia,MEIO AMBIENTE E RESILIÊNCIA
"34,82",21,1,AL,27,comp_meio_ambiente_e_resiliencia__cobertura_vegetal_e_conservacao,COBERTURA VEGETAL E CONSERVAÇÃO,dim_meio_ambiente_e_resiliencia,MEIO AMBIENTE E RESILIÊNCIA
"51,85",9,3,AM,13,comp_meio_ambiente_e_resiliencia__cobertura_vegetal_e_conservacao,COBERTURA VEGETAL E CONSERVAÇÃO,dim_meio_ambiente_e_resiliencia,MEIO AMBIENTE E RESILIÊNCIA
"31,46",23,1,AP,16,comp_meio_ambiente_e_resiliencia__cobertura_vegetal_e_conservacao,COBERTURA VEGETAL E CONSERVAÇÃO,dim_meio_ambiente_e_resiliencia,MEIO AMBIENTE E RESILIÊNCIA
"45,22",14,2,BA,29,comp_meio_ambiente_e_resiliencia__cobertura_vegetal_e_conservacao,COBERTURA VEGETAL E CONSERVAÇÃO,dim_meio_ambiente_e_resiliencia,MEIO AMBIENTE E RESILIÊNCIA
"25,68",24,1,CE,23,comp_meio_ambiente_e_resiliencia__cobertura_vegetal_e_conservacao,COBERTURA VEGETAL E CONSERVAÇÃO,dim_meio_ambiente_e_resiliencia,MEIO AMBIENTE E RESILIÊNCIA
"79,64",3,3,DF,53,comp_meio_ambiente_e_resiliencia__cobertura_vegetal_e_conservacao,COBERTURA VEGETAL E CONSERVAÇÃO,dim_meio_ambiente_e_resiliencia,MEIO AMBIENTE E RESILIÊNCIA
"58,37",7,3,ES,32,comp_meio_ambiente_e_resiliencia__cobertura_vegetal_e_conservacao,COBERTURA VEGETAL E CONSERVAÇÃO,dim_meio_ambiente_e_resiliencia,MEIO AMBIENTE E RESILIÊNCIA
