Estado,CNPJ,Entidade,Valor de Repasse,Pontuação,Tipo,Data Início,Data Fim,TipoPublicacao,Mês,SEI,Projeto,Cidade,Local Entidade,Fiscal,Fiscal Suplente,Fiscal Crea
Rio de Janeiro,34116384000124,SOCIEDADE DOS ENGENHEIROS E ARQUITETOS DO ESTADO DO RIO DE JANEIRO,"R$ 30.000,00",74,PUBLICAÇÃO,15/07/2025,,LIVRO,JULHO,00.0012512025-78,LIVRO - SEAERJ: 90 ANOS DA ENGENHARIA E ARQUITETURA PÚBLICAS NO RIO DE JANEIRO - 1ª EDIÇÃO,,,,,
Mato Grosso do Sul,15923220000164,ASSOCIAÇÃO CAMPOGRANDENSE DE ENGENHEIROS AGRÔNOMOS,"R$ 30.000,00",74,PUBLICAÇÃO,17/07/2025,,LIVRO,JULHO,00.001112/2025-44,LIVRO - MANUAL DE ÉTICA PROFISSIONAL: ANÁLISE AO CÓDIGO DE ÉTICA E REGULAMENTO DO PROCESSO ÉTICO-DISCIPLINAR DO SISTEMA CONFEA/CREA - 3ª EDIÇÃO,,,,,
Ceará,24205873000107,ACADEMIA CEARENSE DE ENGENHARIA,"R$ 30.000,00",74,PUBLICAÇÃO,30/07/2025,,LIVRO,JULHO,00.001463/2025-55,LIVRO - 100 BARRAGENS: ASPECTOS TÉCNICOS E CURIOSIDADES,,,,,
Piauí,07217359000164,ASSOCIACAO PROFISSIONAL DOS GEOLOGOS DO PIAUI - AGEPI,"R$ 30.000,00",74,PUBLICAÇÃO,31/07/2025,,LIVRO,JULHO,00.001234/2025-31,LIVRO - METODOLOGIA DE EXECUÇÃO DE CONTENÇÃO EM CORTINAS ATIRANTADAS E CASOS DE OBRAS,,,,,
Bahia,41997412000125,ASSOCIACAO BAHIANA DE ENGENHEIROS DE MINAS,"R$ 30.000,00",74,PUBLICAÇÃO,15/10/2025,,LIVRO,OUTUBRO,00.001570/2025-83,LIVRO - DO ESTUDANTE AO ENGENHEIRO - ENTENDENDO E PRATICANDO OS CAMINHOS PARA SE TORNAR UM ENGENHEIRO DE SUCESSO,,,,,
Paraná,78305224000107,CLUBE DE ENGENHARIA E ARQUITETURA DE LONDRINA,"R$ 30.000,00",74,PUBLICAÇÃO,26/10/2025,,LIVRO,OUTUBRO,00.001760/2025-09,LIVRO - LIVRO BIOGRÁFICO DO CEAL 1ª EDIÇÃO,,,,,
Mato Grosso,23993556000121,SINDICATO DOS GEOLOGOS DO ESTADO DE MATO-GROSSO - SINGEMAT,"R$ 30.000,00",74,PUBLICAÇÃO,11/12/2025,,LIVRO,DEZEMBRO,00.001914/2025-54,LIVRO - 100 BARRAGENS BRASILEIRAS,,,,,
Distrito Federal,03860786000105,ASSOCIAÇÃO BRASILEIRA DE ENGENHEIROS CIVIS - DEPARTAMENTO DO DISTRITO FEDERAL,"R$ 30.000,00",70,PUBLICAÇÃO,30/07/2025,,REVISTA,JULHO,00.001635/2025-91,REVISTA - ENGENHARIA DE BRASÍLIA,,,,,
Espírito Santo,14867502000129,ASSOSSIAÇÃO DOS TECNÓLOGOS DO ESTADO DO ESPÍRITO SANTO.,"R$ 30.000,00",68,PUBLICAÇÃO,30/09/2025,,LIVRO,SETEMBRO,00.001670/2025-18,LIVRO - ROCHAS ORNAMENTAIS:  DO LABORATÓRIO À APLICAÇÃO,,,,,
Rio de Janeiro,33945015000181,ASSOCIAÇÃO BRASILEIRA DE ENGENHARIA DE AMBIENTAL,"R$ 30.000,00",64,PUBLICAÇÃO,01/06/2025,,REVISTA,JUNHO,00.002431/2025-77,"REVISTA - REÚSO POTÁVEL DE ÁGUA NO BRASIL: DESAFIOS, REGULAMENTAÇÃO E CASES DE SUCESSO",,,,,
Paraná,78677606000153,ASSOCIACAO DOS ENGENHEIROS E ARQUITETOS DO SUDOESTE DO PARANA | SUDENGE,"R$ 20.000,00",60,PUBLICAÇÃO,04/08/2025,,REVISTA,AGOSTO,00.001245/2025-11,REVISTA - REVISTA SUDENGE - 5° EDIÇÃO,,,,,
Piauí,07501328000130,"FUNDACAO CULTURAL E DE FOMENTO A PESQUISA, ENSINO, EXTENSAO E INOVACAO - FADEX","R$ 20.000,00",60,PUBLICAÇÃO,15/08/2025,,EVENTO,AGOSTO,00.001787/2025-93,"ENGENHARIA DE SEGURANÇA DO TRABALHO HOSPITALAR: DESAFIOS, OPORTUNIDADES, SOLUÇÕES E BOAS PRÁTICAS",,,,,
Rio Grande do Sul,89804876000102,"ASSOCIAÇÃO DOS ENGENHEIROS, ARQUITETOS E AGRÔNOMOS DA REGIÃO DOS VINHEDOS","R$ 20.000,00",58,PUBLICAÇÃO,14/11/2025,,REVISTA,NOVEMBRO,00.001396/2025-79,REVISTA - REVISTA AEARV – ENGENHEIROS EM FOCO,,,,,
Rondônia,04295150000120,ASSOCIAÇÃO DOS ENGENHEIROS AGRÔNOMOS DE RONDÔNIA,"R$ 20.000,00",54,PUBLICAÇÃO,30/06/2025,,REVISTA,JUNHO,00.001912/2025-65,REVISTA - ENGENHEIROS DO AMANHÃ: 50 ANOS TRANSFORMANDO RONDÔNIA. EDIÇÃO ESPECIAL COMEMORAÇÃO DOS 50 ANOS DA ASSOCIAÇÃO DOS ENGENHEIROS AGRÔNOMOS DE RONDÔNIA,,,,,
Espírito Santo,27743830000165,IBAPE-ES - INSTITUTO BRASILEIRO DE AVALIACOES E PERICIAS DE ENGENHARIA DO ESPIRITO SANTO,"R$ 20.000,00",54,PUBLICAÇÃO,28/11/2025,,REVISTA,NOVEMBRO,00.001675/2025-32,REVISTA - REVISTA TÉCNICA DO IBAPE ESPÍRITO SANTO,,,,,
Tocantins,26753608000180,CONSELHO REGIONAL DE ENGENHARIA E AGRONOMIA DO ESTADO DO TOCANTINS,"R$ 20.000,00",54,PUBLICAÇÃO,29/11/2025,,EVENTO,NOVEMBRO,00.001574/2025-61,REVISTA,,,,,
Bahia,02077621000107,INSTITUTO BRASILEIRO DE AVALIACOES E PERICIAS DE ENGENHARIA DA BAHIA,"R$ 20.000,00",49,PUBLICAÇÃO,14/11/2025,,REVISTA,NOVEMBRO,00.001329/2025-54,REVISTA - PRODUÇÃO E DISSEMINAÇÃO DE CONHECIMENTO TÉCNICO POR MEIO DA 2ª EDIÇÃO DA REVISTA TÉCNICA IBAPE-BA,,,,,
Rio Grande do Sul,89971501000129,SOCIEDADE DOS ENGENHEIROS E ARQUITETOS DE SANTO ÂNGELO,"R$ 20.000,00",44,PUBLICAÇÃO,13/06/2025,,REVISTA,JUNHO,00.001304/2025-51,"REVISTA - 15ª REVISTA SENASA – INOVAÇÃO, TECNOLOGIA E SUSTENTABILIDADE NA ENGENHARIA E ARQUITETURA",,,,,
Minas Gerais,26814833000180,ASSEND - ASSOCIAÇÃO ARAXAENSE DE ENGENHARIA E DESENVOLVIMENTO,"R$ 20.000,00",44,PUBLICAÇÃO,21/10/2025,,REVISTA,OUTUBRO,00.001533/2025-75,REVISTA - REVISTA ASSEND - 2ª EDIÇÃO,,,,,
